model_name,num_beams,bleu,comet
mbart_simple_lora,1,1.4811243657281923,20.312721627063986
mbart_simple_ia3,1,11.352104250022872,65.97003768462451
mbart_trad_lora,1,2.665983132454851,30.103409269788706
mbart_trad_ia3,1,11.230516906834293,65.3073028817814
nllb_simple_clean_beam1,1,15.779525848128301,69.41108201160904
nllb_simple_clean_beam4,4,15.32805877188483,69.67967210681314
nllb_trad_clean_beam1,1,15.064806991194077,69.38307520730764
nllb_trad_clean_beam4,4,15.713935268664809,70.06147493179836
