model_name,num_beams,bleu,comet
nllb_simple,1,17.763133284449452,68.74226238609346
nllb_simple,4,18.771531071820913,69.66425790890189
nllb_trad,1,17.73468834986108,68.79537723188804
nllb_trad,4,18.699265766625814,69.73254361705592
mbart_simple,1,15.550336625771017,66.33901821618731
mbart_simple,4,12.553176134993658,62.74795969501753
mbart_trad,1,15.4005604581768,66.14253951960113
mbart_trad,4,12.29677101950231,62.42530915763014
nllb_simple_clean,1,17.972122165674705,68.81594999485519
nllb_simple_clean,4,18.929002910347904,69.6584077675111
nllb_trad_clean,1,17.900186207008378,68.85731885409798
nllb_trad_clean,4,18.869760861916276,69.7499143045919
mbart_simple_clean,1,14.223520710554066,65.04658092429077
mbart_simple_clean,4,10.823486493719765,61.35215745761621
mbart_trad_clean,1,14.035718714762755,64.80716918926102
mbart_trad_clean,4,10.598802985707051,61.031333949139785
